posting_id,posting_code,title,generated_title,barrio,zona,address,city,country,latitude,longitude,rent_currency,rent_amount,rent_amount_ars,rent_amount_usd,rent_formatted,expenses_currency,expenses_amount,expenses_formatted,total_area_m2,covered_area_m2,rooms,bedrooms,bathrooms,toilets,antiquity_years,disposition,orientation,luminosity,publisher,real_estate_type,url,whatsapp,has_video,has_tour,has_plans,trigger_pill,price_per_m2,price_per_m2_ars,price_per_m2_usd,modified_date
54468157,2 Ambientes a Estrenar,"2 Amb. a Estrenar, Inmejorable Ubic. Al Frente con Balcón, Bajas Expensas",Departamento · 45m² · 2 Ambientes,La Paternal,,Av. San Martin 3420 - Caba.,Capital Federal,Argentina,-34.6013953,-58.47157099999999,$,780000.0,780000.0,557.1428571428571,780.000,$,180000.0,180.000,49.0,45.0,2.0,1.0,1.0,1.0,,Frente,NE,Muy luminoso,GRUMAN PROPIEDADES,Departamentos,/propiedades/clasificado/alclapin-2-amb.-a-estrenar-inmejorable-ubic.-al-frente-con-54468157.html,,False,False,False,Encargado,15918.367346938776,15918.367346938776,11.370262390670554,2026-03-19T10:11:50-0400
58449552,SAP6999536,"Departamento 2 Ambientes Amoblado con Balcón, Full Amenities Torre Deco Armani Recoleta",Departamento · 76m² · 2 Ambientes,Recoleta,,Armani Deco Recoleta 2 Amb - Guido 1900,Capital Federal,Argentina,-34.5708701,-58.4329256,USD,2400.0,3360000.0,2400.0,2.400,$,800000.0,800.000,94.0,76.0,2.0,1.0,1.0,1.0,3.0,Frente,NE,Muy luminoso,SITUAR ,Departamentos,/propiedades/clasificado/alclapin-departamento-2-ambientes-amoblado-con-balcon-full-58449552.html,54 1123299245,True,False,True,SUM,25.53191489361702,35744.68085106383,25.53191489361702,2026-03-19T11:50:24-0400
58606978,6468005,Excelente 2amb a Estrenar. Muy Luminoso,Departamento · 45m² · 2 Ambientes,Agronomía,,Chorroarin 400,Capital Federal,Argentina,-34.5910759,-58.47565079,$,740000.0,740000.0,528.5714285714286,740.000,$,130000.0,130.000,50.0,45.0,2.0,1.0,1.0,,,Frente,E,,MEL PROPIEDADES,Departamentos,/propiedades/clasificado/alclapin-excelente-2amb-a-estrenar.-muy-luminoso-58606978.html,54 1178576060,True,False,False,Aire acondicionado,14800.0,14800.0,10.571428571428571,2026-03-19T11:50:09-0400
58606958,6468002,Excelente 2amb a Estrenar. Muy Luminoso,Departamento · 45m² · 2 Ambientes,Agronomía,,Chorroarin 400,Capital Federal,Argentina,-34.5910759,-58.47565079,$,850000.0,850000.0,607.1428571428571,850.000,$,160000.0,160.000,48.0,45.0,2.0,1.0,1.0,,,Frente,E,,MEL PROPIEDADES,Departamentos,/propiedades/clasificado/alclapin-excelente-2amb-a-estrenar.-muy-luminoso-58606958.html,54 1178576060,True,False,False,Aire acondicionado,17708.333333333332,17708.333333333332,12.648809523809524,2026-03-19T11:50:24-0400
58524095,LOR-LOR-2053,2 Amb. - con Cochera - Estado Impecable - Balcon.,Departamento · 50m² · 2 Ambientes · 1 Cochera,Belgrano,,BLANCO ENCALADA 2971. Entre Balbin Ricardo Av. y Avenida Cramer,Capital Federal,Argentina,-34.5624212,-58.46469999999999,$,950000.0,950000.0,678.5714285714286,950.000,$,336000.0,336.000,57.0,50.0,2.0,1.0,1.0,,15.0,Frente,E,,LORIA Inmobiliaria,Departamentos,/propiedades/clasificado/alclapin-2-amb.-con-cochera-estado-impecable-balcon.-58524095.html,54 1123233956,False,False,False,Aire acondicionado,16666.666666666668,16666.666666666668,11.904761904761905,2026-03-19T11:50:24-0400
58256451,ZCAC0062,Departamento en Alquiler - 2 Amb - Las Cañitas,Departamento · 30m² · 2 Ambientes,Palermo,Las Cañitas,Av Luis Maria Campos al 1000,Capital Federal,Argentina,-34.5671104,-58.4381091,USD,900.0,1260000.0,900.0,900,$,240000.0,240.000,30.0,30.0,2.0,1.0,1.0,,33.0,Frente,S,Muy luminoso,ZIPCODE SA,Departamentos,/propiedades/clasificado/alclapin-departamento-en-alquiler-2-amb-las-canitas-58256451.html,54 1157541051,False,False,False,Aire acondicionado,30.0,42000.0,30.0,2026-03-19T11:50:24-0400
56412112,6354259,Departamento en Alquiler 2 Amb. con 2 Baños Full Amenities,Departamento · 52m² · 2 Ambientes,Palermo,,Santa Fe 5300,Capital Federal,Argentina,-34.57492447,-58.43511963,USD,1350.0,1890000.0,1350.0,1.350,$,310000.0,310.000,60.0,52.0,2.0,1.0,,,2.0,Frente,NO,,Churba,Departamentos,/propiedades/clasificado/alclapin-departamento-en-alquiler-2-amb.-con-2-banos-full-56412112.html,54 1130148282,False,False,False,SUM,22.5,31500.0,22.5,2026-03-19T11:50:09-0400
58620239,CAP7774007,"Departamento 2 Amb Al Fte, Bcon Corrido",Departamento · 50m² · 2 Ambientes,Almagro,,Quito  al 4000,Capital Federal,Argentina,-34.6114447,-58.4209936,$,700000.0,700000.0,500.0,700.000,$,120000.0,120.000,50.0,,2.0,1.0,1.0,,25.0,Frente,,,CURCIO SUCURSAL CABALLITO,Departamentos,/propiedades/clasificado/alclapin-departamento-2-amb-al-fte-bcon-corrido-58620239.html,54 9 1157050157,False,False,False,,14000.0,14000.0,10.0,2026-03-19T11:50:24-0400
58612623,AR.42.91.204.14.V1,Alquiler 2 Amb. en Recoleta con Balcón y Patio!,Departamento · 36m² · 2 Ambientes,Recoleta,,Marcelo Torcuato de Alvear 1300,Capital Federal,Argentina,-34.596596578882,-58.386613374751,$,750000.0,750000.0,535.7142857142857,750.000,$,135000.0,135.000,45.0,36.0,2.0,1.0,1.0,,43.0,Frente,,,Remax Class II - Vila Terra,Departamentos,/propiedades/clasificado/alclapin-alquiler-2-amb.-en-recoleta-con-balcon-y-patio!-58612623.html,54 1126328334,True,False,False,Aire acondicionado,16666.666666666668,16666.666666666668,11.904761904761903,2026-03-19T11:50:24-0400
58602674,YAP7832010,Torre Deco en Alquiler 2 Amb con Cochera,Departamento · 48m² · 2 Ambientes · 1 Cochera,Recoleta,,Austria al 1900,Capital Federal,Argentina,-34.589545,-58.4063074,USD,1400.0,1960000.0,1400.0,1.400,$,0.0,,52.0,48.0,2.0,1.0,1.0,1.0,6.0,Lateral,O,Muy luminoso,Yankel Group,Departamentos,/propiedades/clasificado/alclapin-torre-deco-en-alquiler-2-amb-con-cochera-58602674.html,54 9 1134045855,False,False,False,Laundry,26.923076923076923,37692.307692307695,26.923076923076923,2026-03-19T11:50:24-0400
58395008,BER-BER-16272,Oportunidad! 2 Amb Luminoso E Impecable Para Entrar,Departamento · 33m² · 2 Ambientes,Almagro,,VALENTIN GOMEZ 3455. Entre Sanchez De Bustamante y Gallo,Capital Federal,Argentina,-34.6049124,-58.4140791,$,500000.0,500000.0,357.14285714285717,500.000,$,153000.0,153.000,36.0,33.0,2.0,1.0,1.0,,56.0,Interno,,Luminoso,BERTOLOTTI Inmobiliaria,Departamentos,/propiedades/clasificado/alclapin-oportunidad!-2-amb-luminoso-e-impecable-para-entrar-58395008.html,54 1150962209,False,False,False,Lavadero,13888.888888888889,13888.888888888889,9.920634920634921,2026-03-19T11:50:24-0400
58573881,AAP7855527,Alquiler 2amb con Cochera - V Urquiza,Departamento · 40m² · 2 Ambientes · 1 Cochera,Villa Urquiza,,Valdenegro  al 3400,Capital Federal,Argentina,-34.5627549,-58.4897725,$,750000.0,750000.0,535.7142857142857,750.000,$,120000.0,120.000,43.0,40.0,2.0,,1.0,,10.0,Lateral,,,ASEMPRO,Departamentos,/propiedades/clasificado/alclapin-alquiler-2amb-con-cochera-v-urquiza-58573881.html,54 1165003354,False,False,False,,17441.86046511628,17441.86046511628,12.458471760797341,2026-03-19T11:50:24-0400
58546437,MPI-MPI-5528,Alquiler Depto 2 Amb en Villa Luro,Departamento · 36m² · 2 Ambientes,Villa Luro,,BASUALDO 28. Entre Av Rivadavia y Cnel Ramon Falcon,Capital Federal,Argentina,-34.6387726,-58.5057146,$,700000.0,700000.0,500.0,700.000,$,120000.0,120.000,36.0,36.0,2.0,1.0,1.0,,10.0,Lateral,O,,Florencio GONZALEZ Inmuebles,Departamentos,/propiedades/clasificado/alclapin-alquiler-depto-2-amb-en-villa-luro-58546437.html,54 9 1161436419,False,False,False,,19444.444444444445,19444.444444444445,13.88888888888889,2026-03-19T11:50:24-0400
58543045,MAP7844040,Alquiler 2amb con Balcón en Villa Urquiza.,Departamento · 39m² · 2 Ambientes,Villa Urquiza,,Diaz Colodrero  al 2800,Capital Federal,Argentina,-34.5701631,-58.4882287,$,750000.0,750000.0,535.7142857142857,750.000,$,190000.0,190.000,42.0,39.0,2.0,1.0,1.0,,25.0,Frente,S,,MUV Propiedades,Departamentos,/propiedades/clasificado/alclapin-alquiler-2amb-con-balcon-en-villa-urquiza.-58543045.html,54 1122862000,False,False,False,Aire acondicionado,17857.14285714286,17857.14285714286,12.755102040816325,2026-03-19T11:50:24-0400
58522042,6464645,"2 Amb en Alquiler, Vuelta de Obligado 1400",Departamento · 47m² · 2 Ambientes,Belgrano,,Vuelta De Obligado 1400,Capital Federal,Argentina,-34.56643677,-58.44965744,$,980000.0,980000.0,700.0,980.000,$,200000.0,200.000,52.0,47.0,2.0,1.0,1.0,,5.0,Frente,,,MEL PROPIEDADES,Departamentos,/propiedades/clasificado/alclapin-2-amb-en-alquiler-vuelta-de-obligado-1400-58522042.html,54 1178576060,True,False,False,Terraza,18846.153846153848,18846.153846153848,13.461538461538462,2026-03-19T11:50:09-0400
58497096,NAP7831296,Alquiler Belgrano Arribeños 2100 2 Amb,Departamento · 38m² · 2 Ambientes,Belgrano,,Arribeños al 2100,Capital Federal,Argentina,-34.5574438,-58.4503599,$,550000.0,550000.0,392.85714285714283,550.000,$,227000.0,227.000,38.0,38.0,2.0,1.0,1.0,,,Contrafrente,,,Nira Brokers SRL,Departamentos,/propiedades/clasificado/alclapin-alquiler-belgrano-arribenos-2100-2-amb-58497096.html,54 1140983331,False,False,False,Lavadero,14473.684210526315,14473.684210526315,10.338345864661653,2026-03-19T11:50:24-0400
58413547,BAP7801591,"Departamento en Alquiler, 2 Amb con Toilette y Parrilla",Departamento · 45m² · 2 Ambientes,Palermo,,Gorriti al 3600,Capital Federal,Argentina,-34.59575,-58.4155849,USD,700.0,980000.0,700.0,700,$,380000.0,380.000,50.0,45.0,2.0,1.0,,1.0,10.0,Frente,,Muy luminoso,Braulio Inmuebles,Departamentos,/propiedades/clasificado/alclapin-departamento-en-alquiler-2-amb-con-toilette-y-58413547.html,54 9 1144213298,False,False,False,Encargado,14.0,19600.0,14.0,2026-03-19T08:49:00-0400
55847935,6327463,Torre Full Amenities 2 Amb. Amueblado Padle - 2 Piletas,Departamento · 50m² · 2 Ambientes,Villa Crespo,,Corrientes 5441,Capital Federal,Argentina,-34.59777069,-58.44083786,USD,750.0,1050000.0,750.0,750,$,210000.0,210.000,50.0,50.0,2.0,1.0,,,3.0,Contrafrente,,,Churba,Departamentos,/propiedades/clasificado/alclapin-torre-full-amenities-2-amb.-amueblado-padle-2-55847935.html,54 1130148282,False,False,False,Parrilla,15.0,21000.0,15.0,2026-03-19T11:50:24-0400
